user_id,domitory,age,student_id,gender,major,bedtime,clean_duration,smoke,alcohol,mbti,one_sentence
1,0,0,0,1,2,2,0,0,0,ENTJ,매일 아침에 운동을 즐겨합니다.
2,0,3,3,1,2,2,1,0,1,ISFP,조용한 밤과 커피를 좋아합니다.
3,0,3,3,1,2,2,0,1,1,ESTJ,"스포츠를 좋아하고, 주말에는 친구들과 축구를 즐깁니다."
4,0,0,0,1,2,2,1,0,0,ISFJ,"정리 정돈을 잘하고, 깔끔한 생활을 추구합니다."
5,0,3,3,0,0,2,0,0,0,ISFJ,룸메이트와 함께 맛있는 밥을 자주 먹고 싶어요.
6,0,3,3,0,2,2,2,0,1,ISFP,공부도 중요하지만 룸메이트와 관심주제가 같았으면 좋겠습니다.
7,0,3,4,1,4,3,0,0,0,ENFJ,여행 하는 것을 좋아합니다.
8,0,3,3,0,2,4,0,0,1,ESTP,게임과 프로그래밍을 좋아합니다.
9,0,3,3,0,2,4,0,0,2,ESFJ,함께 놀고 즐길 수 있는 룸메이트였으면 좋겠어요.
10,0,0,0,1,3,2,0,0,0,ENFJ,"헬스를 좋아하는데, 같이 운동할 수 있는 룸메이트 구합니다!"
11,0,0,3,1,2,4,1,0,1,INTP,같은 전공이신 분이었으면 좋겠어요.
12,0,3,3,1,2,2,1,0,1,ESTJ,"클라이밍 좋아하는데, 클라이밍에 관심 많으신 분 찾습니다!"
13,0,3,3,0,0,2,0,0,1,ISTJ,처음엔 낯을 많이 가리지만 친해지면 정신없어집니다.
14,0,4,4,1,2,2,1,0,0,INTP,평화롭고 조용한 환경을 좋아합니다.
15,0,1,2,1,2,3,2,0,1,ESTP,"자유로운 영혼, 어드벤처와 새로운 경험을 사랑합니다."
16,0,0,0,0,1,3,0,0,1,INTP,밴드 활동을 하고 있어 음악을 사랑하는 룸메이트와 잘 맞을 것 같습니다.
17,0,3,3,1,2,4,2,0,1,ENTJ,"공동체 생활을 중요하게 생각하고, 함께 활동을 기획하고 싶어요."
18,0,4,4,1,2,3,1,0,1,ISTP,"축구 좋아하는데, 같이 축구할 룸메였으면 좋겠습니다."
19,0,4,4,1,2,3,1,0,2,INFP,매사에 긍정적이고 때론 시끄러울 수 있는 학교생활을 추구합니다.
20,0,3,4,1,2,2,1,0,1,ENTJ,건설적인 생각을 가진 룸메였으면 좋겠어요.
21,0,2,2,1,2,2,2,0,1,ISTP,영화 보기와 음악 감상이 취미인 학생입니다.
22,0,4,4,1,2,4,1,0,1,INTJ,테크놀로지와 최신 기기에 관심이 많은 테크니컬한 사람입니다.
23,0,1,0,1,2,2,1,0,1,INTP,"포토그래피를 취미로 하며, 자연을 배경으로 한 사진을 즐겨 찍어요."
24,0,1,0,1,2,2,1,0,1,INTJ,"패션에 관심 많고, 개성 있는 스타일을 추구하는 학생입니다."
25,0,1,1,0,2,4,1,0,3,ENTP,"클라이밍을 취미로 하며, 액티브하게 여가 시간을 보내길 좋아하는 학생입니다."
26,0,1,1,0,2,4,1,0,1,ENTJ,카페다니는 것을 좋아하는 학생입니다!
27,1,0,0,1,2,3,1,1,1,INTP,"아침 수업을 좋아하는데, 룸메가 아침형 인간이었으면 좋겠습니다."
28,1,1,0,1,2,3,1,0,3,ISTJ,애니메이션과 만화를 좋아해요.
29,0,4,3,1,2,4,1,0,1,ESTP,밤늦게까지 깨어있으신 분들 좋아요!
30,0,1,0,1,2,2,1,1,1,INTJ,책을 좋아하는 조용한 사람입니다.
31,0,1,0,1,2,1,1,0,2,INTP,밤에 조용히 공부합니다.
32,1,1,1,1,0,2,1,1,1,ESTJ,기숙사 청결을 중시하는 사람입니다.
33,0,0,0,1,4,3,1,0,2,INFP,PC게임을 좋아하는 게이머입니다.
34,0,0,0,0,1,4,1,0,1,ESFJ,9시수업을 좋아는 아침형 인간입니다.
35,0,4,4,1,2,4,1,1,1,ENFJ,기숙사 야경처럼 조용한 밤을 좋아합니다.
36,1,1,2,1,2,1,1,0,2,ENFJ,대학 로맨스 영화를 즐깁니다.
37,1,1,4,0,0,2,1,1,1,INTP,주말에 대학교 근처 여행을 즐기는 사람입니다.
38,1,1,3,1,1,3,1,1,2,ISTP,대학 런닝운동을 즐기는 스포츠 매니아입니다.
39,1,1,2,0,2,2,1,0,2,ISTJ,자취하면서 요리를 좋아하는 사람입니다.
40,0,0,1,0,2,3,1,1,2,ENTP,벗터열람실에서 공부하며 음악을 즐겨 듣는 음악 팬입니다.
41,0,1,1,0,2,1,1,0,1,INTJ,늦게 까지 밤샘공부하며 자는 올빼미형 인간입니다
42,1,1,2,1,0,2,1,1,2,INFJ,자료열람실에서 독서를 즐기는 독서광입니다.
43,0,4,3,1,2,1,1,1,1,ENTP,술먹고 야식 먹는 걸 좋아합니다.
44,1,1,2,0,1,3,1,0,1,ENTJ,카페 가서 커피를 좋아하는 커피 애호가입니다.
45,1,2,1,0,0,2,1,0,1,ESTJ,자취방에서 항상 정리정돈을 합니다.
46,0,2,2,1,0,2,2,0,0,INFP,대학교 그림 그리는 걸 좋아합니다.
47,1,0,0,1,2,2,1,0,1,ISTJ,혼자 있는 시간을 좋아합니다.
48,0,1,0,0,4,4,0,0,1,INFJ,애완동물 애호가입니다.
49,1,2,2,0,4,2,0,0,1,ENFP,"방구석에서 드라마, 웹툰을 자주 봅니다."
50,0,0,2,1,2,4,0,1,1,ESFP,백화점에서 명품에 대한 패션에 관심이 많습니다.
51,1,1,0,0,4,2,0,0,0,ISTJ,프로그래밍 스터디 그룹을 좋아합니다.
52,1,0,0,0,2,2,0,0,0,INFJ,MT 가는 계획을 자주 세웁니다.
53,0,0,0,0,4,2,2,1,1,ESTJ,대학 탐방 사진 찍는 걸 좋아합니다.
54,0,0,1,0,4,4,2,0,1,INFJ,뒷산 자연을 사랑하는 사람입니다.
55,1,0,0,0,2,2,2,0,1,ISFJ,집에서 게임 스트리머를 방송으로 자주 봅니다.
56,1,2,0,0,4,3,0,0,0,INTJ,DIY 프로젝트를 즐깁니다.
57,1,2,1,0,4,2,0,0,0,ISTP,대학교 가는 길마다 조깅을 좋아합니다.
58,0,0,0,1,2,1,0,0,0,ISTP,차를 즐기는 차 애호가입니다.
59,2,1,1,0,0,2,1,0,1,ISFP,부끄러움이 많지만 따뜻한 사람입니다
60,2,1,1,0,1,3,0,0,0,ISFP,각자의 취미를 존중하며 지내고 싶습니다!
61,2,1,2,0,2,1,0,0,0,INFP,매주 새로운 카페를 탐방하는 것을 좋아하는 카페 러버입니다!
62,2,2,2,1,0,1,0,0,1,ESTJ,동물을 너무 좋아하고 동물 친화적인 룸메이트를 찾고 있습니다
63,0,1,1,1,4,2,1,0,1,ISFP,룸메이트와 함께 기억에 남을 기숙사 생활을 만들고 싶어요!
64,0,2,3,1,3,3,1,0,1,INFP,항상  배려 깊고 책임감 있는 공대생입니다!
65,0,3,3,0,3,4,0,0,1,ISTP,여행을 사랑하고 주말마다 놀러다니는 것을 좋아해요!
66,0,2,3,1,2,4,2,0,0,INFP,깔끔한 성격이라 같이 살면 방이 깔끔했으면 좋겠어요
67,0,3,3,0,4,4,2,0,1,ENTJ,함께 운동할 룸메이트를 찾고 있어요!
68,0,3,3,1,2,4,1,0,0,ENTP,책읽기와 조용한 음악 듣는 것을 좋아해요
69,0,3,3,1,2,1,1,1,1,ESTJ,"게임과 영화를 좋아하는 대학생으로, 같이 취미를 공유할 수 있는 룸메를 찾아요!"
70,0,2,2,0,0,1,0,0,1,ISFP,"야간에 활동하는 것을 선호하여, 낮에 조용히 지낼 수 있는 룸메이트를 찾습니다!"
71,0,3,3,0,0,4,2,0,3,ENFP,맛집 탐방을 좋아해서 휴일에 같이 맛집 탐방갈 룸메이트 찾아요
72,0,1,1,0,3,4,1,0,0,INTJ,서로의 공간을 존중해주는 룸메이트를 찾습니다
73,0,3,3,1,2,2,0,0,1,INTP,운동 좋아하는 사람과 룸메이트를 하고 싶습니다!
74,0,3,3,1,2,1,0,1,1,ESTP,축구 좋아하는 사람 너무 좋아요
75,0,2,3,0,4,4,0,0,1,ISTP,정리정돈을 잘하며 청결을 중요시하는 깔끔쟁이입니다
76,1,2,2,0,0,4,1,1,1,INTP,재밌는 사람 좋아해요!
77,2,1,1,1,1,4,0,0,1,ISFP,헬스인과 룸메이트하고 싶습니다
78,2,2,3,0,0,4,0,0,1,ISFP,옷 좋아하고 놀러다니는거 좋아해요
